,band,telescope,obsmjd,mag,mag_err,alert,Unnamed: 0
275,ZTF_r,P48,58663.3039005,18.103743542832166,0.0109648693611823,False,
276,ZTF_r,P48,58663.31723380001,18.14382846295998,0.0129394778393875,False,
277,ZTF_g,P48,58665.2132523,18.286014629291607,0.0116475864171059,False,
278,ZTF_g,P48,58666.21280090001,18.24130289766812,0.0116215030418063,False,
279,ZTF_g,P48,58666.2137153,18.278496857387708,0.0108585941984014,False,
280,ZTF_g,P48,58666.2345949,18.30793218713373,0.0123650935561812,False,
281,ZTF_r,P48,58666.252963,18.164266175661265,0.0118799553541874,False,
282,ZTF_r,P48,58666.2538542,18.189247020450903,0.0123647250786258,False,
283,ZTF_i,P48,58667.18030090001,18.078370299236923,0.021729311283496,False,
284,ZTF_g,P48,58667.3191319,18.27993480229168,0.0117768701922112,False,
285,ZTF_r,P48,58668.3209722,18.14098082132578,0.0123196231457576,False,
286,ZTF_r,P48,58669.3280903,18.13708778929402,0.0101784823672168,False,
287,ZTF_g,P48,58670.282338,18.302916337796383,0.011946973468039,False,
288,ZTF_r,P48,58670.3125926,18.173915376463317,0.012101166910388,False,
289,ZTF_i,P48,58671.18214119999,17.977394448333214,0.0186328737817917,False,
290,ZTF_r,P48,58671.1915509,18.069275112072148,0.0136504400082116,False,
291,ZTF_g,P48,58671.2839005,18.278937950952407,0.0126446059089694,False,
292,ZTF_r,P48,58672.2065278,18.140319163497352,0.0130480664090193,False,
293,ZTF_r,P48,58672.2290625,18.166826418925627,0.013331590873698,False,
294,ZTF_g,P48,58672.3012847,18.278504106663384,0.0099021051132857,False,
295,ZTF_g,P48,58672.3310069,18.300747136234424,0.0111540462742291,False,
296,ZTF_g,P48,58673.3099306,18.307090940275405,0.0135475173404196,False,
297,ZTF_g,P48,58673.31939809999,18.27835653143218,0.0119738605298933,False,
298,ZTF_g,P48,58674.1918519,18.245777211475577,0.0176609905276672,False,
299,ZTF_r,P48,58674.2112037,18.17147259067639,0.0214334621254705,False,
300,ZTF_r,P48,58674.2284606,18.163358215986083,0.0178900565252393,False,
301,ZTF_r,P48,58674.228912,18.207466118223564,0.0172125809459163,False,
302,ZTF_g,P48,58674.3544676,18.269103599251967,0.0126713514234781,False,
303,ZTF_i,P48,58675.2184954,17.977296702238373,0.0191638967356726,False,
304,ZTF_r,P48,58675.23285880001,18.0981192796174,0.0163166393330356,False,
305,ZTF_r,P48,58675.2452778,18.15594288312728,0.0180391417314734,False,
306,ZTF_g,P48,58675.297164400006,18.230404745782277,0.0199789657127609,False,
307,ZTF_g,P48,58675.3100579,18.29469194018411,0.0202298815324968,False,
308,ZTF_g,P48,58675.3543056,18.300389199880527,0.0158732424302025,False,
309,ZTF_r,P48,58677.236169,18.22150645795997,0.0251572134559616,False,
310,ZTF_r,P48,58677.2366204,18.20274184921098,0.0254043929466866,False,
311,ZTF_r,P48,58678.21329859999,18.144273279471296,0.0205174435408018,False,
312,ZTF_r,P48,58678.23017359999,18.16257969975892,0.0229558667987928,False,
313,ZTF_g,P48,58678.2869676,18.35964095792246,0.0332580031348734,False,
314,ZTF_i,P48,58679.2546528,18.012064013744308,0.0197739718254652,False,
315,ZTF_g,P48,58681.1856019,18.22531545408908,0.0316166736502851,False,
316,ZTF_g,P48,58681.186539400005,18.32087569816227,0.0348001816353085,False,
317,ZTF_g,P48,58681.1906944,18.29288190809209,0.0370754347630251,False,
318,ZTF_g,P48,58681.2098727,18.2683688068358,0.0345505400082532,False,
319,ZTF_r,P48,58681.2686806,18.111745356409777,0.0269302868787285,False,
320,ZTF_r,P48,58681.2790278,18.126956394093888,0.0263498781723931,False,
321,ZTF_g,P48,58682.1877662,18.28819979308706,0.0206243019477964,False,
322,ZTF_g,P48,58682.1926852,18.29834590875104,0.0243570725721752,False,
323,ZTF_r,P48,58682.2822917,18.100183532675373,0.0180600002863643,False,
324,ZTF_r,P48,58682.28929400001,18.238814458965248,0.0250549933354947,False,
325,ZTF_r,P48,58682.2897454,18.2329543944592,0.0272920225837792,False,
326,ZTF_r,P48,58684.17289349999,18.10046687482011,0.0127627138304111,False,
327,ZTF_g,P48,58684.1913657,18.275509365534447,0.0116594476405064,False,
328,ZTF_g,P48,58684.2111806,18.297745736353868,0.0139859132658415,False,
329,ZTF_g,P48,58684.21208330001,18.3019642397526,0.0142752039161512,False,
330,ZTF_g,P48,58685.16888890001,18.25727974459521,0.0170941659498924,False,
331,ZTF_g,P48,58685.2061921,18.28065423666028,0.0122373900079758,False,
332,ZTF_g,P48,58685.291412,18.244642176896825,0.0188491723200097,False,
333,ZTF_i,P48,58685.3056481,17.939609182896486,0.0200353430838659,False,
334,ZTF_r,P48,58685.32341440001,18.10883032558504,0.016828005814897,False,
335,ZTF_g,P48,58686.2085648,18.24941740675462,0.0105078970893431,False,
336,ZTF_g,P48,58686.28563659999,18.28311807284863,0.0163281196896726,False,
337,ZTF_r,P48,58686.3058796,18.12098049577854,0.0156688194631486,False,
338,ZTF_g,P48,58690.1909954,18.24348479684427,0.0120044773566014,False,
339,ZTF_g,P48,58690.276331,18.229650052273776,0.0116366800834821,False,
340,ZTF_i,P48,58690.3285995,17.965531371131533,0.0162301965975087,False,
341,ZTF_r,P48,58691.186851900005,18.10639669193208,0.0110573502316107,False,
342,ZTF_r,P48,58691.1911343,18.081594763117927,0.0120475114547479,False,
343,ZTF_g,P48,58691.2265741,18.244963202702635,0.0115444346895792,False,
344,ZTF_g,P48,58691.2275231,18.23200634337185,0.0107309868365145,False,
345,ZTF_g,P48,58691.3104745,18.26115208510768,0.0121013615629076,False,
346,ZTF_g,P48,58693.28804400001,18.24394627199577,0.0136016649763645,False,
347,ZTF_r,P48,58694.2087269,18.07807715897596,0.0127781136900076,False,
348,ZTF_g,P48,58694.2278125,18.244663411212056,0.0112401088157055,False,
349,ZTF_r,P48,58695.23377309999,18.19698076531218,0.0143244337091798,False,
350,ZTF_r,P48,58695.234213,18.19825213283525,0.0156517841990418,False,
351,ZTF_g,P48,58696.2603819,18.203529063784785,0.0114644223249474,False,
352,ZTF_r,P48,58696.3477778,18.06951637266981,0.0134120922925475,False,
353,ZTF_r,P48,58697.15767359999,17.988253989319297,0.0154540432793417,False,
354,ZTF_r,P48,58697.1680324,18.026871728798778,0.0111341617943292,False,
355,ZTF_g,P48,58697.2055556,18.22075548415223,0.0115539006564169,False,
356,ZTF_g,P48,58697.2069676,18.207174266288444,0.011234471932065,False,
357,ZTF_r,P48,58698.1588773,18.0720958987861,0.0369795368424631,False,
358,ZTF_g,P48,58698.1931134,18.19255989741682,0.0160187042626099,False,
359,ZTF_g,P48,58699.180787,18.18031031820845,0.0133194210546658,False,
360,ZTF_r,P48,58700.1730556,18.008252270397925,0.0101788624917867,False,
361,ZTF_r,P48,58700.17401619999,18.018376078984744,0.01144588981624,False,
362,ZTF_g,P48,58700.25699069999,18.196453805074263,0.0131772588860076,False,
363,ZTF_r,P48,58702.1704051,18.06853032608036,0.0793727878745033,False,
